"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","API keys are masked in log messages","tests.security","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestSensitiveDataMasking","test_security","",""
"","1","Vacancy detail has required fields","tests.contract","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestVacanciesContract","test_contract","",""
"","1","Areas list response has correct structure","tests.contract","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestAreasContract","test_contract","",""
"","1","Получение вакансии по ID возвращает корректные данные","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestVacancyDetailMocked","test_mocks","",""
"","1","Обработка 400 Bad Request","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestErrorHandlingMocked","test_mocks","",""
"","0","Long hex strings are masked (potential secrets)","tests.security","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestSensitiveDataMasking","test_security","",""
"","1","Получение всех справочников","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestDictionariesMocked","test_mocks","",""
"","1","Responses don't contain sensitive server info","tests.security","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestResponseSecurity","test_security","",""
"","2","Rate limiting headers are respected","tests.security","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestResponseSecurity","test_security","",""
"","3","Поиск возвращает пустой список когда нет результатов","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestVacanciesSearchMocked","test_mocks","",""
"","1","Обработка 429 Too Many Requests","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestErrorHandlingMocked","test_mocks","",""
"","2","Похожие вакансии возвращают список","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestVacancyDetailMocked","test_mocks","",""
"","1","Получение регионов (фильтр по типу)","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestAreasMocked","test_mocks","",""
"","1","Поиск возвращает вакансии с правильной структурой","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestVacanciesSearchMocked","test_mocks","",""
"","1","Валидатор проверяет json_path","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestResponseValidatorMocked","test_mocks","",""
"","1","Валидатор проверяет статус код","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestResponseValidatorMocked","test_mocks","",""
"","1","Получение списка всех регионов","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestAreasMocked","test_mocks","",""
"","1","Dictionaries response has required fields","tests.contract","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestDictionariesContract","test_contract","",""
"","1","Поиск с параметром зарплаты","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestVacanciesSearchMocked","test_mocks","",""
"","1","Обработка 500 ошибки сервера","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestErrorHandlingMocked","test_mocks","",""
"","1","404 при получении несуществующей вакансии","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestVacancyDetailMocked","test_mocks","",""
"","1","Пагинация работает корректно","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestVacanciesSearchMocked","test_mocks","",""
"","1","Поиск с фильтрами передает параметры в URL","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestVacanciesSearchMocked","test_mocks","",""
"","2","Search response matches JSON schema","tests.contract","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestVacanciesContract","test_contract","",""
"","1","Получение региона по ID","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestAreasMocked","test_mocks","",""
"","1","Получение конкретного справочника по имени","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestDictionariesMocked","test_mocks","",""
"","1","Bearer tokens are masked in log messages","tests.security","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestSensitiveDataMasking","test_security","",""
"","1","Обработка 403 Forbidden","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestErrorHandlingMocked","test_mocks","",""
"","1","HTTPS is used for API requests","tests.security","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestRequestSecurity","test_security","",""
"","1","Валидатор проверяет наличие ключей","tests","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestResponseValidatorMocked","test_mocks","",""
"","2","Authorization header is not logged in plain text","tests.security","Mon Apr 27 21:29:22 UTC 2026","passed","Mon Apr 27 21:29:22 UTC 2026","TestRequestSecurity","test_security","",""
